,text,verdict
80,"*reads things about talking angela* ""talking angela gets ur personal info"" ""talking angela can access all ur photos"" ",false
81,"""laziness is a trait in blacks,"" 1991 book quotes trump as saying:  ",false
82,breaking news: isis executioner jihadi john reportedly wounded in air strike. big scoop in tomorrow's mos > ,false
83,"i don't want to live on this planet anymore. rt @juddlegum pepsi is making a doritos-flavored mountain dew: ""dewitos"" ",true
84,"that old ""banksy arrested"" hoax is back. don't buy into it. ",false
85,north korea media says kim jong un has made appearance after 40+ days missing:  ,false
86,report: christian bale will play steve jobs  ,false
87,"reports: missing afghan soldiers found trying to cross into canada, source says -@wcvb, @7news, @nbcnews  (fixes typo)",true
88,i aint know obama daughter was pregnant 😩,false
89,pictured: kevin vickers moments after shooting dead canadian parliament attacker  ,true
90,mexico security forces hunting 43 missing students after clashes with police find mass grave ,false
91,hour five of your road trip? time to break out the s pen. ,false
92,dog found abandoned at scottish train station with suitcase filled with it's belongings:  ,true
93,afghan woman kills 25 #taliban militants after son shot dead  #bravo  v @sydrza,false
94,corporations have sold or spun off $1.6 trillion worth of subsidiaries & biz lines this year.  ,true
95,highly radioactive water is seeping into the ocean from japan's crippled fukushima nuclear plant ,false
96,paul walker's death: 'fast & furious 7' delayed but won't be scrapped ,true
97,"goodbye elly may: 'beverly hillbillies' star donna douglas dead at 81, reports say.  ",true
98,peek behind the curtain of our save the americans video. ,false
99,line of police cars with high beams on greets anyone trying to enter #ferguson. it's shut down. no media allowed. ,false
100,"we are running out of chocolate, warns world's largest chocolate manufacturer  ",false
101,win: macy's stops stocking sodastream  #bds #palestine @aicnews ,false
102,"three missing afghan officers are in custody at the u.s.-canada border, police say. ",true
103,"""fuck you"" in advance to writers, sites, late night show hosts, etc. who will makes jokes about michael phelps' girlfriend being intersex.",false
104,"confirmed: pepsico is making a doritos-flavored mountain dew called ""dewitos""  ",true
105,r.i.p paul walker ♥ he died doing what he loved♥ ,true
106,darren wilson is a six year veteran of the #ferguson police and had no disciplinary actions against him.,false
107,raven symone blasts bill cosby rape story  ,false
108,meet the south american goliath birdeater -- a spider the size of a puppy:  ,true
109,president obama to skip nancy reagan’s funeral in order to attend south by southwest:  ,false
110,"okla beheading victim colleen hufford, rest in peace #beheading #jihad #jahkeemyisrael  ",tru
